date,gross_return,cost,net_return,turnover,n_positions,n_long,n_short,net_exposure,gross_exposure
2021-03-16,0.02410563593070658,9.25925925925926e-06,0.02409637667144732,0.00925925925925926,109,54,55,5.551115123125783e-17,1.0
2021-03-17,-0.00015444804558081577,1.8350168350168352e-05,-0.00017279821393098411,0.018350168350168353,109,54,55,8.326672684688674e-17,1.0
2021-03-18,0.0019016397269298862,5.5218855218855225e-05,0.001846420871711031,0.05521885521885522,109,54,55,8.326672684688674e-17,1.0
2021-03-19,-0.0043667971020737145,4.545454545454546e-05,-0.00441225164752826,0.045454545454545456,109,54,55,1.1102230246251565e-16,1.0
2021-03-22,-0.02378422134703568,5.5218855218855225e-05,-0.023839440202254536,0.05521885521885522,109,54,55,8.326672684688674e-17,1.0
2021-03-23,-0.021315148093566844,2.7609427609427613e-05,-0.021342757521176273,0.02760942760942761,109,54,55,1.1102230246251565e-16,1.0
2021-03-24,0.021176403019250944,7.373737373737375e-05,0.02110266564551357,0.07373737373737374,109,54,55,8.326672684688674e-17,1.0
2021-03-25,0.02002942355773169,4.562289562289562e-05,0.019983800662108794,0.04562289562289562,109,54,55,8.326672684688674e-17,1.0
2021-03-26,-0.005531406866141347,6.430976430976432e-05,-0.005595716630451111,0.06430976430976432,109,54,55,8.326672684688674e-17,1.0
2021-03-29,0.01027264892795994,6.430976430976432e-05,0.010208339163650175,0.06430976430976432,109,54,55,8.326672684688674e-17,1.0
2021-03-30,-4.3852108284445687e-05,7.34006734006734e-05,-0.00011725278168511908,0.0734006734006734,109,54,55,8.326672684688674e-17,1.0
2021-03-31,0.011215272453661647,3.6700336700336744e-05,0.01117857211696131,0.03670033670033675,108,54,54,-2.7755575615628914e-17,1.0
2021-04-01,0.011496804023889147,8.333333333333334e-05,0.011413470690555814,0.08333333333333334,108,54,54,0.0,1.0
2021-04-02,0.004188026691734235,2.7777777777777782e-05,0.0041602489139564575,0.027777777777777783,107,53,54,-0.009259259259259273,0.9907407407407409
2021-04-06,-0.0037619964198723215,6.0185185185185194e-05,-0.0038221816050575067,0.060185185185185196,108,54,54,0.0,1.0
2021-04-07,0.006499968680875252,6.481481481481483e-05,0.006435153866060438,0.06481481481481483,108,54,54,2.7755575615628914e-17,1.0000000000000002
2021-04-08,-0.006649319085177665,4.629629629629631e-05,-0.006695615381473961,0.04629629629629631,108,54,54,0.0,1.0
2021-04-09,-0.014269903305531344,5.5555555555555565e-05,-0.014325458861086899,0.055555555555555566,108,54,54,0.0,1.0
2021-04-12,0.0054898908661924015,5.5555555555555565e-05,0.005434335310636846,0.055555555555555566,108,54,54,1.3877787807814457e-17,1.0
2021-04-13,0.011779781055672326,8.333333333333334e-05,0.011696447722338993,0.08333333333333334,108,54,54,0.0,1.0
2021-04-14,0.010658859874920493,3.703703703703705e-05,0.010621822837883457,0.03703703703703705,108,54,54,-6.938893903907228e-18,1.0
